external_identify,subject,price,posted_date,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name,area,area_name,region,region_name
138210979,"Đất MT Bến Than 183m2 ShR Full thổ, Xây dựng tự do",4500000000,1671764230000,1040,Đất,,,,,,,"10.96682,106.61172",106.61172,10.96682,False,,9493,Xã Tân Thạnh Đông,116,Huyện Củ Chi,,
140785212,Bán đất Hố Truông 1 - Hòa Minh . Lô kẹp Cống đẹp,3200000000,1671764213848,1040,Đất,,,,,,,"16.0813,108.15563",108.15563,16.0813,False,,6858,Phường Hòa Minh,17,Quận Liên Chiểu,,
140904585,"Bán đất đường 767, Thị trấn Vĩnh An, Vĩnh Cửu",750000000,1671764213000,1040,Đất,,,,,,,"11.085973,107.04213",107.04213,11.085973,False,,9027,Thị trấn Vĩnh An,13,Huyện Vĩnh Cửu,,
140904490,Chính chủ kẹt tiền cần bán gấp lô 2 MT 1.000 m2,2600000000,1671764207000,1040,Đất,,,,,,,"10.64468,107.25197",107.25197,10.64468,False,,9171,Xã Xà Bang,10,Huyện Châu Đức,,
140901118,BÁN MIẾNG ĐẤT CÓ NHÀ SẴN Ở ĐƠN DƯƠNG LÂM ĐỒNG,1200000000,1671764194759,1040,Đất,,,,,,,"11.84555,108.60665",108.60665,11.84555,False,,8577,Thị trấn D'Ran,57,Huyện Đơn Dương,,
140866803,Đất nền Mường Hoa SaPa 1500m2Làm homestayHơn1tr/m2,3900000000,1671764171000,1040,Đất,,,,,,,"22.31944,103.896996",103.896996,22.31944,False,,1373,Xã Mường Hoa,69,Thị xã Sa Pa,,
140132099,Đất Giáp Suối Khánh Thượng Khánh Vĩnh Giá Ngộp,890000000,1671764144497,1040,Đất,,,,,,,"12.341404,108.78386",108.78386,12.341404,False,,7710,Xã Khánh Thượng,44,Huyện Khánh Vĩnh,,
140904495,Hạ Giá Bán Nhanh 1500m2(100m2 TC) Giá 670tr TL,670000000,1671764110000,1040,Đất,,,,,,,"11.419223,106.85914",106.85914,11.419223,False,,8742,Xã Tân Tiến,12,Huyện Đồng Phú,,
130860451,"Lô đất MTKD khu Tên Lửa,6.6x32m,NH 8.5m",20500000000,1671764104000,1040,Đất,,,,,,,"10.75656,106.61221",106.61221,10.75656,False,,9461,Phường Bình Trị Đông B,108,Quận Bình Tân,,
137731450,CHÍNH CHỦ CẦN BÁN 2 LÔ ĐẤT NỀN MẶT TIỀN,16000000,1671764078000,1040,Đất,,,,,,,"15.12514,108.75107",108.75107,15.12514,False,,7232,Thị trấn La Hà,47,Huyện Tư Nghĩa,,
140904424,"Đất nền Mường Hoa –SaPa 5000m2, suối chảy róc rách",20000000000,1671764065000,1040,Đất,,,,,,,"22.31944,103.896996",103.896996,22.31944,False,,1373,Xã Mường Hoa,69,Thị xã Sa Pa,,
140904369,"Con Nợ WC, Mẹ bán đất trả nợ!! 1,xtr/m2 Đan 4m",3500000000,1671764058000,1040,Đất,,,,,,,"10.38877,106.31846",106.31846,10.38877,False,,9746,Xã Phước Thạnh,34,Thành phố Mỹ Tho,,
137666336,ĐẤT NỀN TRUNG TÂM HÀNH CHÍNH TIỀM NĂNG,17000000,1671763986000,1040,Đất,,,,,,,"15.11239,108.81131",108.81131,15.11239,False,,7232,Thị trấn La Hà,47,Huyện Tư Nghĩa,,
138373878,Đất vườn bưởi tại Sông Cầu-Khánh Vĩnh giá cực rẻ,2200000,1671763982000,1040,Đất,,,,,,,"12.28279,108.9433",108.9433,12.28279,False,,7712,Xã Sông Cầu,44,Huyện Khánh Vĩnh,,
140904347,Đất nền Đức Hòa Vị trí VIP trong khu ven TP HCM,1200000000,1671763966000,1040,Đất,,,,,,,"10.80005,106.47709",106.47709,10.80005,False,,9642,Xã Đức Hòa Đông,32,Huyện Đức Hòa,,
139645007,Chủ kẹt tiền nên cần bán Đất,5800000000,1671763961763,1040,Đất,,,,,,,"11.21736,106.21214",106.21214,11.21736,False,,8845,Xã Thạnh Đức,14,Huyện Gò Dầu,,
140904288,Bán nhanh lô đất 350tr ấp 2/6 long hậu,350000000,1671763934000,1040,Đất,,,,,,,"10.63742,106.71253",106.71253,10.63742,False,,9704,Xã Long Hậu,32,Huyện Cần Giuộc,,
140904273,Sụp Hầm 181m2 giá 530tr tại Điện Quang - Điện Bàn,530000000,1671763932000,1040,Đất,,,,,,,"15.84798,108.172516",108.172516,15.84798,False,,6990,Xã Điện Quang,16,Thị xã Điện Bàn,,
140904245,Chỉ 450tr sở hữu đất nền TX Điện Bàn đường 7M5,450000000,1671763927000,1040,Đất,,,,,,,"15.853119,108.24368",108.24368,15.853119,False,,6992,Xã Điện Phong,16,Thị xã Điện Bàn,,
140080139,Tặng giấy phép xây dựng,1650000000,1671763912462,1040,Đất,,,,,,,"10.05643,105.75773",105.75773,10.05643,False,,10752,Phường An Thới,27,Quận Bình Thuỷ,,
140904224,Bán đất tặng nhà cấp 4 MT Lưu Nhân Chú - Giá Sụp,2800000000,1671763908000,1040,Đất,,,,,,,"16.02025,108.2081",108.2081,16.02025,False,,6893,Phường Khuê Trung,17,Quận Cẩm Lệ,,
138283042,ĐẤT NỀN TRUNG TÂM GIÁ RẺ,1800000000,1671763896000,1040,Đất,,,,,,,"15.39972,109.08627",109.08627,15.39972,False,,7187,Xã Bình Dương,47,Huyện Bình Sơn,,
138283042,ĐẤT NỀN TRUNG TÂM GIÁ RẺ,1800000000,1671763896000,1040,Đất,,,,,,,"15.39972,109.08627",109.08627,15.39972,False,,7187,Xã Bình Dương,47,Huyện Bình Sơn,,
138324869,"ban gấp nhanh lô đât mỹ phước gần chợ,khu cn,",1100000000,1671763729000,1040,Đất,,,,,,,"11.16326,106.64818",106.64818,11.16326,False,,8910,Phường Thới Hòa,11,Thị xã Bến Cát,,
140903828,"Lô Góc Ngang 6m Ngay TT Điện Phước,Cách Lộ 20m.",630000000,1671763718000,1040,Đất,,,,,,,"15.8887,108.14879",108.14879,15.8887,False,,6985,Phường Điện An,16,Thị xã Điện Bàn,,
140903993,5300m2(QH full Tc) tại QL.29-Đak Lak giá chỉ 1ty2,1200000000,1671763699000,1040,Đất,,,,,,,"12.91419,108.40755",108.40755,12.91419,False,,8360,Xã Phú Xuân,53,Huyện Krông Năng,,
